Observation	System_A	System_B	Difference
272	0.36233000	0.36475000	-0.00242000
273	0.35623000	0.35660000	-0.00037000
274	0.34534000	0.35926000	-0.01392000
275	0.35207000	0.38397000	-0.03190000
276	0.34208000	0.38322000	-0.04114000
277	0.35525000	0.37478000	-0.01953000
278	0.34280000	0.35408000	-0.01128000
279	0.33535000	0.37304000	-0.03769000
280	0.33036000	0.38416000	-0.05380000
281	0.33447000	0.36586000	-0.03139000
282	0.34165000	0.34479000	-0.00314000
283	0.35220000	0.37763000	-0.02543000
284	0.34829000	0.37830000	-0.03001000
285	0.34280000	0.37008000	-0.02728000
286	0.33700000	0.35846000	-0.02146000
287	0.34424000	0.37650000	-0.03226000
288	0.32371000	0.38236000	-0.05865000
289	0.33683000	0.36800000	-0.03117000
290	0.33084000	0.34697000	-0.01613000
291	0.33737000	0.37975000	-0.04238000
292	0.31993000	0.36309000	-0.04316000
293	0.31408000	0.35886000	-0.04478000
294	0.31571000	0.34054000	-0.02483000
295	0.30694000	0.35604000	-0.04910000
296	0.32040000	0.37908000	-0.05868000
297	0.30851000	0.36694000	-0.05843000
298	0.30271000	0.34551000	-0.04280000
299	0.32320000	0.38199000	-0.05879000
300	0.31775000	0.35572000	-0.03797000
301	0.32348000	0.36291000	-0.03943000
302	0.34124000	0.34461000	-0.00337000
303	0.33014000	0.37290000	-0.04276000
304	0.34470000	0.36877000	-0.02407000
305	0.34233000	0.35198000	-0.00965000
306	0.33041000	0.35770000	-0.02729000
307	0.33620000	0.36790000	-0.03170000
308	0.34171000	0.36157000	-0.01986000
309	0.33886000	0.34679000	-0.00793000
310	0.34050000	0.35125000	-0.01075000
311	0.34007000	0.37111000	-0.03104000
312	0.33689000	0.36608000	-0.02919000
313	0.33630000	0.35193000	-0.01563000
314	0.33738000	0.33637000	0.00101000
315	0.34827000	0.35336000	-0.00509000
316	0.33904000	0.36162000	-0.02258000
317	0.33109000	0.35609000	-0.02500000
318	0.34683000	0.35474000	-0.00791000
319	0.34513000	0.37145000	-0.02632000
320	0.33307000	0.38723000	-0.05416000
321	0.32707000	0.36543000	-0.03836000
322	0.34265000	0.34233000	0.00032000
323	0.32117000	0.36478000	-0.04361000
324	0.33026000	0.35124000	-0.02098000
325	0.32065000	0.35369000	-0.03304000
326	0.31468000	0.34712000	-0.03244000
327	0.31925000	0.34599000	-0.02674000
328	0.30678000	0.36277000	-0.05599000
329	0.31729000	0.35771000	-0.04042000
330	0.36626000	0.32696000	0.03930000
331	0.38059000	0.37350000	0.00709000
332	0.35982000	0.37191000	-0.01209000
333	0.36024000	0.35673000	0.00351000
334	0.36223000	0.34401000	0.01822000
335	0.34894000	0.35918000	-0.01024000
336	0.35713000	0.32496000	0.03217000
337	0.35445000	0.34057000	0.01388000
338	0.35342000	0.34055000	0.01287000
339	0.35851000	0.35714000	0.00137000
340	0.36852000	0.35805000	0.01047000
341	0.36454000	0.33591000	0.02863000
342	0.35256000	0.34063000	0.01193000
343	0.36043000	0.35058000	0.00985000
344	0.35951000	0.35163000	0.00788000
345	0.35861000	0.34055000	0.01806000
346	0.35839000	0.34678000	0.01161000
347	0.35008000	0.35577000	-0.00569000
348	0.34489000	0.36344000	-0.01855000
349	0.34409000	0.32459000	0.01950000
350	0.35150000	0.32988000	0.02162000
351	0.34737000	0.35714000	-0.00977000
352	0.34569000	0.36075000	-0.01506000
353	0.34518000	0.32334000	0.02184000
354	0.33999000	0.32513000	0.01486000
355	0.34718000	0.34680000	0.00038000
356	0.35288000	0.34645000	0.00643000
357	0.33370000	0.32468000	0.00902000
358	0.34106000	0.32995000	0.01111000
359	0.33029000	0.35355000	-0.02326000
360	0.34214000	0.36010000	-0.01796000
361	0.34563000	0.35636000	-0.01073000
362	0.32106000	0.31436000	0.00670000
363	0.33219000	0.36152000	-0.02933000
